"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
29 Nov 2021 17:00:00.000,39.514,-79.819,0.508739,-0.000034,-0.000028,0.000101
29 Nov 2021 17:00:20.694,39.514,-79.819,0.510032,-0.000036,-0.000024,-0.000027
29 Nov 2021 17:00:38.391,39.513,-79.820,0.508835,-0.000036,-0.000024,-0.000162
29 Nov 2021 17:00:56.087,39.512,-79.820,0.511059,-0.000036,-0.000024,0.000075
29 Nov 2021 17:01:13.783,39.512,-79.821,0.511773,-0.000036,-0.000024,0.000062
29 Nov 2021 17:01:31.480,39.511,-79.821,0.513496,0.000035,0.000025,-0.000098
29 Nov 2021 17:01:49.763,39.512,-79.821,0.511608,0.000035,0.000025,-0.000231
29 Nov 2021 17:02:08.047,39.512,-79.820,0.510928,0.000035,0.000025,-0.000019
29 Nov 2021 17:02:26.331,39.513,-79.820,0.508802,0.000035,0.000025,0.000157
29 Nov 2021 17:02:44.615,39.514,-79.819,0.509971,0.000035,0.000025,-0.000075
29 Nov 2021 17:03:02.899,39.514,-79.819,0.508739,0.000035,0.000025,-0.000098


